Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,newCountry
Czechia,Frydek Mistek,77,Moderate,1,Good,46,Good,0,Good,77,Moderate,Czechia
Japan,Fujimi,85,Moderate,2,Good,25,Good,19,Good,85,Moderate,Japan
Japan,Fukuyama,52,Moderate,1,Good,44,Good,3,Good,52,Moderate,Japan
Germany,Fussen,59,Moderate,1,Good,49,Good,0,Good,59,Moderate,Germany
Bulgaria,Gabrovo,46,Good,1,Good,46,Good,0,Good,42,Good,Bulgaria
India,Gadarwara,161,Unhealthy,2,Good,41,Good,2,Good,161,Unhealthy,India
Spain,Galdar,40,Good,0,Good,40,Good,0,Good,31,Good,Spain
Congo,Gamboma,61,Moderate,2,Good,21,Good,0,Good,61,Moderate,Congo
Tajikistan,Garm,113,Unhealthy for Sensitive Groups,1,Good,27,Good,0,Good,113,Unhealthy for Sensitive Groups,Tajikistan
Brazil,Gaspar,51,Moderate,1,Good,19,Good,2,Good,51,Moderate,Brazil
United States of America,Gautier,51,Moderate,1,Good,42,Good,1,Good,51,Moderate,United States of America
Russian Federation,Gavrilov Yam,37,Good,1,Good,37,Good,0,Good,13,Good,Russian Federation
Germany,Gelnhausen,60,Moderate,1,Good,56,Moderate,0,Good,60,Moderate,Germany
Democratic Republic of the Congo,Gemena,58,Moderate,1,Good,12,Good,0,Good,58,Moderate,Democratic Republic of the Congo
Germany,Gersthofen,67,Moderate,1,Good,56,Moderate,0,Good,67,Moderate,Germany
India,Ghosi,171,Unhealthy,4,Good,89,Moderate,5,Good,171,Unhealthy,India
Sri Lanka,Weligama,47,Good,1,Good,17,Good,2,Good,47,Good,Sri Lanka
Germany,Werdau,53,Moderate,1,Good,48,Good,0,Good,53,Moderate,Germany
United States of America,West Caldwell,51,Moderate,1,Good,46,Good,2,Good,51,Moderate,United States of America
United States of America,West Pensacola,48,Good,2,Good,48,Good,4,Good,42,Good,United States of America
United States of America,West University Place,30,Good,0,Good,26,Good,1,Good,30,Good,United States of America
United States of America,Westchester,34,Good,1,Good,34,Good,1,Good,30,Good,United States of America
Germany,Wiehl,54,Moderate,1,Good,47,Good,0,Good,54,Moderate,Germany
United States of America,Wildomar,58,Moderate,2,Good,22,Good,9,Good,58,Moderate,United States of America
United States of America,Wilkes Barre,52,Moderate,1,Good,35,Good,2,Good,52,Moderate,United States of America
United States of America,Winder,46,Good,1,Good,46,Good,3,Good,38,Good,United States of America
United States of America,Winslow,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,United States of America
Switzerland,Wohlen,57,Moderate,1,Good,52,Moderate,0,Good,57,Moderate,Switzerland
Germany,Wolmirstedt,45,Good,1,Good,45,Good,0,Good,30,Good,Germany
Indonesia,Wonosari,174,Unhealthy,7,Good,7,Good,20,Good,174,Unhealthy,Indonesia
United States of America,Woodstock,64,Moderate,1,Good,64,Moderate,3,Good,26,Good,United States of America
United States of America,Wyandotte,61,Moderate,1,Good,36,Good,1,Good,61,Moderate,United States of America
United States of America,Xenia,45,Good,1,Good,45,Good,1,Good,42,Good,United States of America
Russian Federation,Yadrin,35,Good,1,Good,35,Good,0,Good,26,Good,Russian Federation
Turkey,Yalova,63,Moderate,1,Good,53,Moderate,1,Good,63,Moderate,Turkey
India,Yanam,119,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,119,Unhealthy for Sensitive Groups,India
China,Yangshe,207,Very Unhealthy,11,Good,3,Good,49,Good,207,Very Unhealthy,China
Mexico,Armeria,63,Moderate,2,Good,16,Good,3,Good,63,Moderate,Mexico
Spain,Armilla,27,Good,1,Good,27,Good,1,Good,24,Good,Spain
India,Aron,212,Very Unhealthy,1,Good,39,Good,0,Good,212,Very Unhealthy,India
Panama,Arraijan,76,Moderate,2,Good,17,Good,6,Good,76,Moderate,Panama
Spain,Arrigorriaga,38,Good,1,Good,38,Good,1,Good,16,Good,Spain
United States of America,Ashwaubenon,30,Good,1,Good,30,Good,3,Good,29,Good,United States of America
Indonesia,Atambua,28,Good,1,Good,22,Good,0,Good,28,Good,Indonesia
Pakistan,Attock,156,Unhealthy,3,Good,156,Unhealthy,1,Good,156,Unhealthy,Pakistan
France,Avrille,27,Good,1,Good,24,Good,3,Good,27,Good,France
Malaysia,Ayer Molek,72,Moderate,1,Good,31,Good,0,Good,72,Moderate,Malaysia
Argentina,Azul,34,Good,0,Good,17,Good,0,Good,34,Good,Argentina
United States of America,Back Mountain,62,Moderate,2,Good,18,Good,8,Good,62,Moderate,United States of America
Philippines,Baguio,28,Good,0,Good,25,Good,1,Good,28,Good,Philippines
Turkey,Zile,46,Good,1,Good,46,Good,0,Good,24,Good,Turkey
Poland,Znin,42,Good,1,Good,42,Good,0,Good,27,Good,Poland
Libya,Zuwarah,57,Moderate,1,Good,48,Good,0,Good,57,Moderate,Libya
Spain,Bueu,22,Good,1,Good,21,Good,2,Good,22,Good,Spain
United Republic of Tanzania,Bugarama,45,Good,1,Good,20,Good,0,Good,45,Good,United Republic of Tanzania
Germany,Burg,59,Moderate,1,Good,36,Good,2,Good,59,Moderate,Germany
United States of America,Burkburnett,35,Good,1,Good,35,Good,1,Good,33,Good,United States of America
United States of America,Burlington,51,Moderate,1,Good,22,Good,9,Good,51,Moderate,United States of America
Mexico,Cadereyta,84,Moderate,2,Good,11,Good,6,Good,84,Moderate,Mexico
Brazil,Cajamar,78,Moderate,2,Good,3,Good,7,Good,78,Moderate,Brazil
Philippines,Calbayog,36,Good,1,Good,22,Good,0,Good,36,Good,Philippines
Peru,Camana,23,Good,1,Good,23,Good,0,Good,14,Good,Peru
Venezuela (Bolivarian Republic of),Cantaura,134,Unhealthy for Sensitive Groups,1,Good,20,Good,1,Good,134,Unhealthy for Sensitive Groups,Venezuela (Bolivarian Republic of)
Brazil,Carandai,52,Moderate,1,Good,10,Good,2,Good,52,Moderate,Brazil
United States of America,Carpentersville,58,Moderate,1,Good,18,Good,14,Good,58,Moderate,United States of America
Italy,Carpi,60,Moderate,1,Good,44,Good,2,Good,60,Moderate,Italy
Ireland,Carrigaline,33,Good,1,Good,33,Good,2,Good,22,Good,Ireland
United States of America,Carver,33,Good,1,Good,31,Good,8,Good,33,Good,United States of America
Italy,Castellammare Di Stabia,74,Moderate,2,Good,52,Moderate,10,Good,74,Moderate,Italy
Spain,Castilleja De La Cuesta,26,Good,0,Good,26,Good,1,Good,16,Good,Spain
United States of America,Cayce,71,Moderate,2,Good,25,Good,9,Good,71,Moderate,United States of America
Brazil,Chapadinha,56,Moderate,1,Good,9,Good,1,Good,56,Moderate,Brazil
France,Chateau Thierry,68,Moderate,1,Good,24,Good,3,Good,68,Moderate,France
Portugal,Chaves,14,Good,1,Good,12,Good,3,Good,14,Good,Portugal
United States of America,Chelsea,46,Good,1,Good,29,Good,8,Good,46,Good,United States of America
China,Chengkung,182,Unhealthy,2,Good,182,Unhealthy,8,Good,142,Unhealthy for Sensitive Groups,China
United States of America,Chicago,64,Moderate,2,Good,12,Good,20,Good,64,Moderate,United States of America
China,Chihu,198,Unhealthy,3,Good,198,Unhealthy,14,Good,152,Unhealthy,China
Panama,Chitre,80,Moderate,3,Good,11,Good,9,Good,80,Moderate,Panama
Brazil,Chopinzinho,37,Good,1,Good,5,Good,2,Good,37,Good,Brazil
China,Chushan,201,Very Unhealthy,2,Good,201,Very Unhealthy,7,Good,151,Unhealthy,China
Mexico,Cintalapa,59,Moderate,2,Good,24,Good,1,Good,59,Moderate,Mexico
Indonesia,Cirebon,71,Moderate,2,Good,53,Moderate,0,Good,71,Moderate,Indonesia
United States of America,Clarksville,77,Moderate,3,Good,8,Good,31,Good,77,Moderate,United States of America
Germany,Coburg,59,Moderate,1,Good,36,Good,4,Good,59,Moderate,Germany
United States of America,Cohoes,63,Moderate,2,Good,25,Good,7,Good,63,Moderate,United States of America
United States of America,Colton,85,Moderate,3,Good,6,Good,22,Good,85,Moderate,United States of America
Mexico,Comalcalco,142,Unhealthy for Sensitive Groups,2,Good,13,Good,3,Good,142,Unhealthy for Sensitive Groups,Mexico
Benin,Come,69,Moderate,1,Good,18,Good,1,Good,69,Moderate,Benin
Italy,Concordia Sagittaria,74,Moderate,1,Good,32,Good,4,Good,74,Moderate,Italy
United States of America,Conyers,93,Moderate,3,Good,8,Good,30,Good,93,Moderate,United States of America
Mexico,Coquimatlan,70,Moderate,2,Good,11,Good,4,Good,70,Moderate,Mexico
Mexico,Coscomatepec,100,Unhealthy for Sensitive Groups,3,Good,7,Good,9,Good,100,Unhealthy for Sensitive Groups,Mexico
Brazil,Cosmopolis,53,Moderate,1,Good,6,Good,4,Good,53,Moderate,Brazil
Mexico,Cosoleacaque,108,Unhealthy for Sensitive Groups,2,Good,17,Good,3,Good,108,Unhealthy for Sensitive Groups,Mexico
Brazil,Cruz Alta,20,Good,1,Good,9,Good,2,Good,20,Good,Brazil
Malaysia,Cukai,93,Moderate,1,Good,38,Good,0,Good,93,Moderate,Malaysia
Brazil,Cupira,37,Good,0,Good,9,Good,2,Good,37,Good,Brazil
Brazil,Curitibanos,17,Good,0,Good,17,Good,0,Good,17,Good,Brazil
India,Dabhoi,139,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,139,Unhealthy for Sensitive Groups,India
Senegal,Dakar,166,Unhealthy,1,Good,21,Good,2,Good,166,Unhealthy,Senegal
India,Davorlim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate,India
China,Dayong,130,Unhealthy for Sensitive Groups,2,Good,130,Unhealthy for Sensitive Groups,0,Good,74,Moderate,China
United States of America,Delaware,42,Good,1,Good,42,Good,3,Good,26,Good,United States of America
Indonesia,Deli Tua,68,Moderate,2,Good,41,Good,0,Good,68,Moderate,Indonesia
Netherlands,Den Helder,38,Good,0,Good,38,Good,0,Good,36,Good,Netherlands
Belgium,Denderleeuw,44,Good,1,Good,27,Good,4,Good,44,Good,Belgium
United States of America,Derry,30,Good,1,Good,30,Good,4,Good,23,Good,United States of America
Germany,Dessau,40,Good,0,Good,32,Good,1,Good,40,Good,Germany
Brazil,Diadema,137,Unhealthy for Sensitive Groups,3,Good,4,Good,15,Good,137,Unhealthy for Sensitive Groups,Brazil
Poland,Dobre Miasto,37,Good,0,Good,33,Good,0,Good,37,Good,Poland
Bulgaria,Dobric,43,Good,1,Good,43,Good,1,Good,31,Good,Bulgaria
Bangladesh,Dohar,89,Moderate,3,Good,51,Moderate,3,Good,89,Moderate,Bangladesh
Colombia,Don Matias,66,Moderate,2,Good,7,Good,5,Good,66,Moderate,Colombia
Ukraine,Donetsk,37,Good,1,Good,37,Good,0,Good,14,Good,Ukraine
India,Dongargaon,178,Unhealthy,1,Good,39,Good,0,Good,178,Unhealthy,India
Chad,Dourbali,57,Moderate,2,Good,17,Good,0,Good,57,Moderate,Chad
France,Draveil,57,Moderate,1,Good,20,Good,6,Good,57,Moderate,France
United States of America,East Liverpool,43,Good,1,Good,43,Good,4,Good,35,Good,United States of America
Germany,Eichstatt,47,Good,1,Good,35,Good,1,Good,47,Good,Germany
Germany,Eisenach,51,Moderate,1,Good,24,Good,4,Good,51,Moderate,Germany
Mexico,El Rosario,110,Unhealthy for Sensitive Groups,2,Good,11,Good,3,Good,110,Unhealthy for Sensitive Groups,Mexico
Ecuador,El Triunfo,59,Moderate,1,Good,17,Good,4,Good,59,Moderate,Ecuador
Nicaragua,El Viejo,86,Moderate,1,Good,18,Good,3,Good,86,Moderate,Nicaragua
Venezuela (Bolivarian Republic of),El Vigia,61,Moderate,1,Good,8,Good,4,Good,61,Moderate,Venezuela (Bolivarian Republic of)
Spain,Elda,31,Good,1,Good,31,Good,1,Good,21,Good,Spain
Poland,Elk,34,Good,0,Good,34,Good,0,Good,33,Good,Poland
Germany,Emmerich,38,Good,0,Good,32,Good,2,Good,38,Good,Germany
Belgium,Charleroi,58,Moderate,1,Good,25,Good,5,Good,58,Moderate,Belgium
Russian Federation,Chelyabinsk 70,31,Good,1,Good,29,Good,0,Good,31,Good,Russian Federation
United States of America,Cheney,32,Good,1,Good,32,Good,1,Good,28,Good,United States of America
India,Chhaprauli,158,Unhealthy,3,Good,158,Unhealthy,2,Good,158,Unhealthy,India
India,Chhindwara,176,Unhealthy,1,Good,34,Good,0,Good,176,Unhealthy,India
Zimbabwe,Chipinge,41,Good,2,Good,13,Good,0,Good,41,Good,Zimbabwe
United States of America,Clemson,65,Moderate,2,Good,34,Good,7,Good,65,Moderate,United States of America
United States of America,Cliffside Park,119,Unhealthy for Sensitive Groups,3,Good,10,Good,33,Good,119,Unhealthy for Sensitive Groups,United States of America
Canada,Cobourg,30,Good,1,Good,30,Good,2,Good,26,Good,Canada
United States of America,Collingswood,73,Moderate,1,Good,37,Good,5,Good,73,Moderate,United States of America
Uruguay,Colonia,52,Moderate,1,Good,11,Good,3,Good,52,Moderate,Uruguay
United States of America,Columbia Heights,52,Moderate,1,Good,42,Good,3,Good,52,Moderate,United States of America
United States of America,Cordele,58,Moderate,2,Good,29,Good,3,Good,58,Moderate,United States of America
Argentina,Cordoba,41,Good,1,Good,12,Good,4,Good,41,Good,Argentina
Italy,Cori,39,Good,2,Good,39,Good,6,Good,39,Good,Italy
Italy,Cornedo Vicentino,59,Moderate,2,Good,36,Good,5,Good,59,Moderate,Italy
Brazil,Corrente,54,Moderate,1,Good,12,Good,1,Good,54,Moderate,Brazil
Germany,Coswig,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,Germany
Brazil,Criciuma,85,Moderate,2,Good,17,Good,3,Good,85,Moderate,Brazil
Germany,Crimmitschau,69,Moderate,1,Good,37,Good,2,Good,69,Moderate,Germany
United States of America,Crofton,51,Moderate,1,Good,42,Good,4,Good,51,Moderate,United States of America
Spain,Cullera,34,Good,1,Good,30,Good,1,Good,34,Good,Spain
Brazil,Curuca,42,Good,0,Good,19,Good,0,Good,42,Good,Brazil
India,Dadri,178,Unhealthy,4,Good,170,Unhealthy,3,Good,178,Unhealthy,India
Colombia,Dagua,39,Good,1,Good,9,Good,3,Good,39,Good,Colombia
Germany,Alsfeld,64,Moderate,1,Good,35,Good,2,Good,64,Moderate,Germany
India,Ambad,116,Unhealthy for Sensitive Groups,1,Good,32,Good,0,Good,116,Unhealthy for Sensitive Groups,India
Madagascar,Ambatondrazaka,20,Good,0,Good,20,Good,0,Good,12,Good,Madagascar
Italy,Amelia,60,Moderate,1,Good,36,Good,3,Good,60,Moderate,Italy
Brazil,Amontada,39,Good,0,Good,20,Good,0,Good,39,Good,Brazil
Sri Lanka,Amparai,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,Sri Lanka
Italy,Anagni,56,Moderate,1,Good,38,Good,4,Good,56,Moderate,Italy
Afghanistan,Andarab,104,Unhealthy for Sensitive Groups,0,Good,34,Good,0,Good,104,Unhealthy for Sensitive Groups,Afghanistan
France,Angers,32,Good,1,Good,18,Good,4,Good,32,Good,France
Colombia,Anserma,88,Moderate,3,Good,1,Good,6,Good,88,Moderate,Colombia
Madagascar,Antsirabe,52,Moderate,1,Good,22,Good,0,Good,52,Moderate,Madagascar
,Anzio,48,Good,1,Good,39,Good,6,Good,48,Good,Anzio
Italy,Aosta,87,Moderate,0,Good,28,Good,1,Good,87,Moderate,Italy
United States of America,Apache Junction,48,Good,1,Good,21,Good,12,Good,48,Good,United States of America
United States of America,Apopka,71,Moderate,1,Good,8,Good,17,Good,71,Moderate,United States of America
Brazil,Aquidaba,17,Good,0,Good,17,Good,0,Good,17,Good,Brazil
Brazil,Aracati,22,Good,0,Good,21,Good,0,Good,22,Good,Brazil
India,Arani,61,Moderate,0,Good,26,Good,0,Good,61,Moderate,India
Colombia,Arauca,52,Moderate,1,Good,8,Good,1,Good,52,Moderate,Colombia
Iran (Islamic Republic of),Ardabil,44,Good,1,Good,41,Good,0,Good,44,Good,Iran (Islamic Republic of)
Brazil,Engenheiro Beltrao,46,Good,1,Good,14,Good,1,Good,46,Good,Brazil
Portugal,Estoril,36,Good,1,Good,36,Good,5,Good,17,Good,Portugal
Brazil,Extrema,78,Moderate,2,Good,11,Good,5,Good,78,Moderate,Brazil
United States of America,Fall River,57,Moderate,2,Good,23,Good,14,Good,57,Moderate,United States of America
United Kingdom of Great Britain and Northern Ireland,Farnworth,58,Moderate,1,Good,26,Good,7,Good,58,Moderate,United Kingdom of Great Britain and Northern Ireland
Chad,Faya,156,Unhealthy,1,Good,29,Good,0,Good,156,Unhealthy,Chad
Italy,Ferrara,68,Moderate,2,Good,27,Good,10,Good,68,Moderate,Italy
Belgium,Fleron,57,Moderate,1,Good,29,Good,4,Good,57,Moderate,Belgium
Brazil,Floriano,14,Good,0,Good,14,Good,0,Good,13,Good,Brazil
United States of America,Flowing Wells,65,Moderate,1,Good,21,Good,6,Good,65,Moderate,United States of America
France,Fontainebleau,66,Moderate,1,Good,20,Good,4,Good,66,Moderate,France
India,Beawar,221,Very Unhealthy,1,Good,35,Good,0,Good,221,Very Unhealthy,India
India,Begowal,151,Unhealthy,3,Good,145,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy,India
Colombia,Belen De Umbria,90,Moderate,3,Good,1,Good,6,Good,90,Moderate,Colombia
United States of America,Bell Gardens,123,Unhealthy for Sensitive Groups,4,Good,3,Good,41,Good,123,Unhealthy for Sensitive Groups,United States of America
United States of America,Bellefontaine Neighbors,54,Moderate,1,Good,40,Good,4,Good,54,Moderate,United States of America
India,Belonia,74,Moderate,4,Good,39,Good,2,Good,74,Moderate,India
Côte d'Ivoire,Beoumi,33,Good,1,Good,19,Good,0,Good,33,Good,Côte d'Ivoire
Somalia,Berbera,90,Moderate,1,Good,24,Good,0,Good,90,Moderate,Somalia
Germany,Bernau,39,Good,1,Good,35,Good,1,Good,39,Good,Germany
Brazil,Betim,91,Moderate,2,Good,4,Good,9,Good,91,Moderate,Brazil
India,Bhadrachalam,96,Moderate,1,Good,16,Good,3,Good,96,Moderate,India
India,Bhadravati,39,Good,0,Good,21,Good,0,Good,39,Good,India
India,Bhitarwar,230,Very Unhealthy,1,Good,46,Good,0,Good,230,Very Unhealthy,India
India,Bhongir,98,Moderate,1,Good,25,Good,1,Good,98,Moderate,India
Poland,Bialystok,54,Moderate,1,Good,32,Good,1,Good,54,Moderate,Poland
Viet Nam,Bien Hoa,83,Moderate,2,Good,40,Good,2,Good,83,Moderate,Viet Nam
Brazil,Biguacu,96,Moderate,3,Good,13,Good,6,Good,96,Moderate,Brazil
India,Bilasipara,50,Good,2,Good,41,Good,0,Good,50,Good,India
India,Bilaspur,111,Unhealthy for Sensitive Groups,2,Good,110,Unhealthy for Sensitive Groups,0,Good,111,Unhealthy for Sensitive Groups,India
Ukraine,Bilopillya,36,Good,1,Good,36,Good,0,Good,10,Good,Ukraine
Belgium,Binche,57,Moderate,1,Good,25,Good,5,Good,57,Moderate,Belgium
Romania,Bocsa,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,Romania
France,Bois Guillaume,55,Moderate,1,Good,30,Good,3,Good,55,Moderate,France
United States of America,Bolingbrook,41,Good,2,Good,30,Good,9,Good,41,Good,United States of America
Brazil,Bom Jesus Do Galho,45,Good,1,Good,12,Good,2,Good,45,Good,Brazil
Brazil,Bom Jesus Do Itabapoana,58,Moderate,2,Good,3,Good,4,Good,58,Moderate,Brazil
France,Bondues,45,Good,1,Good,26,Good,5,Good,45,Good,France
Netherlands,Borculo,31,Good,0,Good,31,Good,2,Good,19,Good,Netherlands
Italy,Bra,104,Unhealthy for Sensitive Groups,2,Good,22,Good,6,Good,104,Unhealthy for Sensitive Groups,Italy
Austria,Bregenz,41,Good,1,Good,30,Good,5,Good,41,Good,Austria
,Brigantine,78,Moderate,1,Good,63,Moderate,1,Good,78,Moderate,Brigantine
United Kingdom of Great Britain and Northern Ireland,Brighton,28,Good,1,Good,28,Good,4,Good,22,Good,United Kingdom of Great Britain and Northern Ireland
Italy,Brindisi,62,Moderate,1,Good,62,Moderate,1,Good,47,Good,Italy
Australia,Broken Hill,126,Unhealthy for Sensitive Groups,0,Good,15,Good,0,Good,126,Unhealthy for Sensitive Groups,Australia
Cameroon,Foumbot,122,Unhealthy for Sensitive Groups,4,Good,12,Good,2,Good,122,Unhealthy for Sensitive Groups,Cameroon
Italy,Frattaminore,61,Moderate,1,Good,61,Moderate,3,Good,59,Moderate,Italy
Denmark,Frederiksvaerk,37,Good,0,Good,37,Good,0,Good,20,Good,Denmark
Germany,Friedrichsthal,45,Good,1,Good,33,Good,3,Good,45,Good,Germany
Germany,Frondenberg,44,Good,1,Good,33,Good,2,Good,44,Good,Germany
United States of America,Fullerton,114,Unhealthy for Sensitive Groups,4,Good,4,Good,33,Good,114,Unhealthy for Sensitive Groups,United States of America
Colombia,Funza,116,Unhealthy for Sensitive Groups,3,Good,5,Good,13,Good,116,Unhealthy for Sensitive Groups,Colombia
Pakistan,Garhi Yasin,186,Unhealthy,1,Good,115,Unhealthy for Sensitive Groups,1,Good,186,Unhealthy,Pakistan
Niger,Gaya,45,Good,1,Good,24,Good,0,Good,45,Good,Niger
Spain,Girona,64,Moderate,1,Good,40,Good,1,Good,64,Moderate,Spain
Ghana,Duayaw Nkwanta,51,Moderate,1,Good,17,Good,0,Good,51,Moderate,Ghana
Republic of Moldova,Dubasari,34,Good,1,Good,34,Good,0,Good,24,Good,Republic of Moldova
Ethiopia,Dubti,152,Unhealthy,1,Good,34,Good,0,Good,152,Unhealthy,Ethiopia
United States of America,Dunedin,63,Moderate,1,Good,32,Good,4,Good,63,Moderate,United States of America
United States of America,Durant,133,Unhealthy for Sensitive Groups,1,Good,23,Good,2,Good,133,Unhealthy for Sensitive Groups,United States of America
Brazil,Ecoporanga,38,Good,1,Good,16,Good,1,Good,38,Good,Brazil
United States of America,Edwardsville,56,Moderate,1,Good,40,Good,4,Good,56,Moderate,United States of America
Azerbaijan,Yevlax,64,Moderate,1,Good,44,Good,0,Good,64,Moderate,Azerbaijan
Japan,Yokaichiba,45,Good,1,Good,45,Good,1,Good,42,Good,Japan
Malta,Zabbar,51,Moderate,1,Good,46,Good,1,Good,51,Moderate,Malta
Mexico,Zacatlan,166,Unhealthy,3,Good,6,Good,9,Good,166,Unhealthy,Mexico
Republic of North Macedonia,Zelino,88,Moderate,1,Good,43,Good,0,Good,88,Moderate,Republic of North Macedonia
Kazakhstan,Zhanakorgan,90,Moderate,1,Good,50,Good,0,Good,90,Moderate,Kazakhstan
Russian Federation,Zheleznogorsk,42,Good,1,Good,33,Good,0,Good,42,Good,Russian Federation
China,Zhenlai,66,Moderate,2,Good,66,Moderate,0,Good,49,Good,China
Russian Federation,Zherdevka,37,Good,1,Good,36,Good,0,Good,37,Good,Russian Federation
Mexico,Zinacatepec,76,Moderate,2,Good,15,Good,5,Good,76,Moderate,Mexico
Czechia,Zlin,71,Moderate,1,Good,40,Good,1,Good,71,Moderate,Czechia
Ukraine,Zmiyiv,52,Moderate,1,Good,35,Good,0,Good,52,Moderate,Ukraine
United Kingdom of Great Britain and Northern Ireland,Wigston,34,Good,1,Good,34,Good,3,Good,18,Good,United Kingdom of Great Britain and Northern Ireland
Austria,Wolfsberg,66,Moderate,1,Good,38,Good,1,Good,66,Moderate,Austria
China,Xinxiang,178,Unhealthy,6,Good,172,Unhealthy,10,Good,178,Unhealthy,China
Argentina,Yacuiba,12,Good,0,Good,11,Good,0,Good,12,Good,Argentina
Thailand,Yala,53,Moderate,1,Good,35,Good,0,Good,53,Moderate,Thailand
Ethiopia,Wendo,53,Moderate,1,Good,17,Good,0,Good,53,Moderate,Ethiopia
United States of America,West Seneca,88,Moderate,2,Good,9,Good,16,Good,88,Moderate,United States of America
Netherlands,Westervoort,44,Good,1,Good,22,Good,6,Good,44,Good,Netherlands
United Kingdom of Great Britain and Northern Ireland,Whitefield,34,Good,1,Good,34,Good,3,Good,18,Good,United Kingdom of Great Britain and Northern Ireland
Kazakhstan,Ilyich,161,Unhealthy,1,Good,56,Moderate,0,Good,161,Unhealthy,Kazakhstan
United States of America,Indianapolis,71,Moderate,2,Good,17,Good,19,Good,71,Moderate,United States of America
Germany,Ingelheim,71,Moderate,2,Good,33,Good,5,Good,71,Moderate,Germany
Greece,Ioannina,69,Moderate,1,Good,41,Good,0,Good,69,Moderate,Greece
United Republic of Tanzania,Ipinda,24,Good,1,Good,17,Good,0,Good,24,Good,United Republic of Tanzania
Chile,Iquique,50,Good,2,Good,6,Good,8,Good,50,Good,Chile
Japan,Isesaki,74,Moderate,1,Good,74,Moderate,1,Good,67,Moderate,Japan
Russian Federation,Islamey,43,Good,1,Good,41,Good,1,Good,43,Good,Russian Federation
Brazil,Itaituba,26,Good,1,Good,4,Good,0,Good,26,Good,Brazil
India,Itanagar,52,Moderate,1,Good,28,Good,0,Good,52,Moderate,India
Brazil,Itapolis,26,Good,1,Good,6,Good,1,Good,26,Good,Brazil
Czechia,Jablonec,73,Moderate,1,Good,40,Good,1,Good,73,Moderate,Czechia
India,Jalgaon,102,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,102,Unhealthy for Sensitive Groups,India
India,Jamkhandi,96,Moderate,1,Good,33,Good,1,Good,96,Moderate,India
India,Janakpur Road,82,Moderate,2,Good,47,Good,1,Good,82,Moderate,India
Cuba,Jaruco,81,Moderate,1,Good,25,Good,2,Good,81,Moderate,Cuba
India,Jawad,166,Unhealthy,1,Good,36,Good,0,Good,166,Unhealthy,India
Brazil,Jequitinhonha,25,Good,0,Good,7,Good,1,Good,25,Good,Brazil
Germany,Jever,49,Good,1,Good,30,Good,3,Good,49,Good,Germany
China,Jiangmen,98,Moderate,3,Good,30,Good,9,Good,98,Moderate,China
China,Jinxiang,124,Unhealthy for Sensitive Groups,3,Good,124,Unhealthy for Sensitive Groups,2,Good,111,Unhealthy for Sensitive Groups,China
China,Jishou,70,Moderate,2,Good,66,Moderate,1,Good,70,Moderate,China
China,Jishui,186,Unhealthy,4,Good,186,Unhealthy,4,Good,155,Unhealthy,China
Mexico,Jocotepec,50,Good,1,Good,16,Good,2,Good,50,Good,Mexico
Indonesia,Jombang,113,Unhealthy for Sensitive Groups,2,Good,84,Moderate,1,Good,113,Unhealthy for Sensitive Groups,Indonesia
Mexico,Juan Aldama,81,Moderate,1,Good,29,Good,0,Good,81,Moderate,Mexico
Nicaragua,Juigalpa,47,Good,1,Good,17,Good,0,Good,47,Good,Nicaragua
Lithuania,Jurbarkas,36,Good,1,Good,36,Good,0,Good,28,Good,Lithuania
Russian Federation,Kaa Khem,40,Good,1,Good,40,Good,0,Good,31,Good,Russian Federation
Finland,Kaarina,28,Good,1,Good,28,Good,2,Good,20,Good,Finland
Pakistan,Kabirwala,159,Unhealthy,3,Good,156,Unhealthy,1,Good,159,Unhealthy,Pakistan
Jordan,Kafr Yuba,116,Unhealthy for Sensitive Groups,3,Good,87,Moderate,5,Good,116,Unhealthy for Sensitive Groups,Jordan
United States of America,Kailua,24,Good,0,Good,23,Good,0,Good,24,Good,United States of America
,Kalamaria,88,Moderate,1,Good,44,Good,0,Good,88,Moderate,Kalamaria
India,Kalavad,142,Unhealthy for Sensitive Groups,0,Good,28,Good,0,Good,142,Unhealthy for Sensitive Groups,India
Russian Federation,Kalininsk,50,Good,1,Good,35,Good,0,Good,50,Good,Russian Federation
Sweden,Kalmar,36,Good,1,Good,36,Good,0,Good,21,Good,Sweden
Pakistan,Kalur Kot,174,Unhealthy,3,Good,150,Unhealthy,0,Good,174,Unhealthy,Pakistan
Russian Federation,Kambarka,48,Good,1,Good,36,Good,0,Good,48,Good,Russian Federation
France,Gisors,66,Moderate,1,Good,29,Good,3,Good,66,Moderate,France
Canada,Glace Bay,31,Good,1,Good,31,Good,7,Good,14,Good,Canada
